wp,fresh_mass_g,extra_mass_g,dry_mass_g,var,obs,leaf_area_cm2,rep,time
6.2,1.9706,1.003,0.294,pear,3,31.397,1,April
9.8,1.9617,1.003,0.294,pear,4,31.397,1,April
12.6,1.9532,1.003,0.294,pear,5,31.397,1,April
14.9,1.9468,1.003,0.294,pear,6,31.397,1,April
17.1,1.9389,1.003,0.294,pear,7,31.397,1,April
19.9,1.9272,1.003,0.294,pear,8,31.397,1,April
25.6,1.9042,1.003,0.294,pear,9,31.397,1,April
28.8,1.888,1.003,0.294,pear,10,31.397,1,April
34,1.8627,1.003,0.294,pear,11,31.397,1,April
13.6,1.7673,0.9998,0.2443,pear,4,33.37,2,April
14.4,1.765,0.9998,0.2443,pear,5,33.37,2,April
16.4,1.7594,0.9998,0.2443,pear,6,33.37,2,April
20.5,1.7506,0.9998,0.2443,pear,7,33.37,2,April
24.2,1.7336,0.9998,0.2443,pear,8,33.37,2,April
26.5,1.7224,0.9998,0.2443,pear,9,33.37,2,April
30.4,1.7038,0.9998,0.2443,pear,10,33.37,2,April
32,1.6845,0.9998,0.2443,pear,11,33.37,2,April
8.5,2.2149,1.0094,0.4351,pear,2,40.663,3,April
9,2.212,1.0094,0.4351,pear,3,40.663,3,April
11.5,2.2002,1.0094,0.4351,pear,4,40.663,3,April
14.9,2.1915,1.0094,0.4351,pear,5,40.663,3,April
16.1,2.1815,1.0094,0.4351,pear,6,40.663,3,April
20.5,2.1731,1.0094,0.4351,pear,7,40.663,3,April
23.3,2.1544,1.0094,0.4351,pear,8,40.663,3,April
26.2,2.142,1.0094,0.4351,pear,9,40.663,3,April
29.8,2.1188,1.0094,0.4351,pear,10,40.663,3,April
34.6,2.0887,1.0094,0.4351,pear,11,40.663,3,April
7.8,1.8482,0.9764,0.2918,pear,6,29.531,6,April
11.3,1.8363,0.9764,0.2918,pear,7,29.531,6,April
17.4,1.8203,0.9764,0.2918,pear,8,29.531,6,April
22.9,1.8036,0.9764,0.2918,pear,9,29.531,6,April
29.3,1.773,0.9764,0.2918,pear,10,29.531,6,April
31.1,1.7672,0.9764,0.2918,pear,11,29.531,6,April
34,1.7402,0.9764,0.2918,pear,12,29.531,6,April
4,2.1833,1.0067,0.4258,rim,2,24.594,1,April
11.1,2.1501,1.0067,0.4258,rim,3,24.594,1,April
13.7,2.1382,1.0067,0.4258,rim,4,24.594,1,April
16.6,2.1191,1.0067,0.4258,rim,5,24.594,1,April
19.3,2.1018,1.0067,0.4258,rim,6,24.594,1,April
20.4,2.0931,1.0067,0.4258,rim,7,24.594,1,April
22.2,2.0656,1.0067,0.4258,rim,8,24.594,1,April
23.4,2.0186,1.0067,0.4258,rim,9,24.594,1,April
4,1.8861,1.0027,0.303,rim,2,20.486,2,April
9.9,1.8558,1.0027,0.303,rim,3,20.486,2,April
14.4,1.8385,1.0027,0.303,rim,4,20.486,2,April
17.9,1.8223,1.0027,0.303,rim,5,20.486,2,April
20.1,1.8041,1.0027,0.303,rim,6,20.486,2,April
22.8,1.7488,1.0027,0.303,rim,7,20.486,2,April
4.4,1.9657,0.9971,0.3291,rim,2,18.162,3,April
10.6,1.9291,0.9971,0.3291,rim,3,18.162,3,April
15.8,1.9026,0.9971,0.3291,rim,4,18.162,3,April
18.5,1.8828,0.9971,0.3291,rim,5,18.162,3,April
20.9,1.8117,0.9971,0.3291,rim,6,18.162,3,April
23.5,1.7338,0.9971,0.3291,rim,7,18.162,3,April
25.4,1.6991,0.9971,0.3291,rim,8,18.162,3,April
4.4,1.46,0.9967,0.1902,rim,1,15.221,4,April
9.8,1.4446,0.9967,0.1902,rim,2,15.221,4,April
13.3,1.4364,0.9967,0.1902,rim,3,15.221,4,April
16.6,1.4301,0.9967,0.1902,rim,4,15.221,4,April
19.3,1.4243,0.9967,0.1902,rim,5,15.221,4,April
22.9,1.4144,0.9967,0.1902,rim,6,15.221,4,April
24.7,1.3989,0.9967,0.1902,rim,7,15.221,4,April
26.1,1.389,0.9967,0.1902,rim,8,15.221,4,April
10.6,2.6579,0.9885,0.7324,rim,2,31.058,5,April
19.9,2.6142,0.9885,0.7324,rim,3,31.058,5,April
22.8,2.5813,0.9885,0.7324,rim,4,31.058,5,April
24.2,2.5555,0.9885,0.7324,rim,5,31.058,5,April
25.2,2.538,0.9885,0.7324,rim,6,31.058,5,April
27.9,2.4918,0.9885,0.7324,rim,7,31.058,5,April
29.9,2.4454,0.9885,0.7324,rim,8,31.058,5,April
31.3,2.4185,0.9885,0.7324,rim,9,31.058,5,April
1.9,1.5406,0.977,0.1969,rim,1,13.955,6,April
11.7,1.4907,0.977,0.1969,rim,2,13.955,6,April
16.8,1.4756,0.977,0.1969,rim,3,13.955,6,April
18.6,1.4645,0.977,0.1969,rim,4,13.955,6,April
19.2,1.4477,0.977,0.1969,rim,5,13.955,6,April
22.2,1.4221,0.977,0.1969,rim,6,13.955,6,April
25.1,1.401,0.977,0.1969,rim,7,13.955,6,April
5.1,1.9445,0.9802,0.3222,eiz,1,30.97,2,April
6.2,1.9426,0.9802,0.3222,eiz,2,30.97,2,April
9.7,1.9287,0.9802,0.3222,eiz,3,30.97,2,April
12.5,1.9222,0.9802,0.3222,eiz,4,30.97,2,April
14,1.9172,0.9802,0.3222,eiz,5,30.97,2,April
15.7,1.9082,0.9802,0.3222,eiz,6,30.97,2,April
17.3,1.8969,0.9802,0.3222,eiz,7,30.97,2,April
19.4,1.8764,0.9802,0.3222,eiz,8,30.97,2,April
25,1.836,0.9802,0.3222,eiz,9,30.97,2,April
27.1,1.83,0.9802,0.3222,eiz,10,30.97,2,April
31.5,1.7974,0.9802,0.3222,eiz,11,30.97,2,April
38.4,1.7549,0.9802,0.3222,eiz,12,30.97,2,April
5.3,1.8441,0.983,0.2745,eiz,1,22.817,3,April
6.4,1.8428,0.983,0.2745,eiz,2,22.817,3,April
9.3,1.8342,0.983,0.2745,eiz,3,22.817,3,April
11.1,1.8276,0.983,0.2745,eiz,4,22.817,3,April
13,1.8201,0.983,0.2745,eiz,5,22.817,3,April
15.6,1.8122,0.983,0.2745,eiz,6,22.817,3,April
17,1.7998,0.983,0.2745,eiz,7,22.817,3,April
19.5,1.7789,0.983,0.2745,eiz,8,22.817,3,April
25.1,1.7346,0.983,0.2745,eiz,9,22.817,3,April
27.5,1.728,0.983,0.2745,eiz,10,22.817,3,April
32.8,1.6978,0.983,0.2745,eiz,11,22.817,3,April
50.5,1.6527,0.983,0.2745,eiz,12,22.817,3,April
5.3,1.6107,0.9769,0.1932,eiz,1,28.34,4,April
6.3,1.6057,0.9769,0.1932,eiz,2,28.34,4,April
8.9,1.6004,0.9769,0.1932,eiz,3,28.34,4,April
10.3,1.5999,0.9769,0.1932,eiz,4,28.34,4,April
